indicator_id,claim_id,indicator_type,severity,detected_date,pattern_description,investigation_status
FRD-000365,CLM-2026-001523,Witness Inconsistency,MEDIUM,2024-02-14,Witness statements contain conflicting information,CONFIRMED
FRD-000366,CLM-2026-001524,Previous Fraud History,CRITICAL,2026-01-12,Claimant has 1 previous fraud flags on record,OPEN
FRD-000367,CLM-2026-001524,Policyholder Collusion,CRITICAL,2025-12-29,Evidence suggests coordination between parties,OPEN
FRD-000368,CLM-2026-001555,Staged Accident Pattern,MEDIUM,2025-12-30,Incident characteristics match known staged accident patterns,OPEN
FRD-000369,CLM-2026-001560,Excessive Claim Amount,MEDIUM,2024-03-29,"Claim amount $53,314.04 exceeds typical range by 77%",CLOSED
FRD-000370,CLM-2026-001560,Inconsistent Documentation,LOW,2024-03-21,Documentation shows inconsistencies in dates and damage descriptions,CONFIRMED
FRD-000371,CLM-2026-001560,Policyholder Collusion,HIGH,2024-03-07,Evidence suggests coordination between parties,OPEN
FRD-000372,CLM-2026-001598,Previous Fraud History,HIGH,2025-08-28,Claimant has 1 previous fraud flags on record,CONFIRMED
FRD-000373,CLM-2026-001598,Excessive Claim Amount,CRITICAL,2025-08-16,"Claim amount $9,526.71 exceeds typical range by 173%",CLOSED
FRD-000374,CLM-2026-001615,Inconsistent Documentation,HIGH,2024-03-04,Documentation shows inconsistencies in dates and damage descriptions,CONFIRMED
FRD-000375,CLM-2026-001615,Phantom Damage,LOW,2024-02-28,Claimed damage not consistent with incident type,CLOSED
FRD-000376,CLM-2026-001620,Inconsistent Documentation,HIGH,2024-10-18,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000377,CLM-2026-001620,Staged Accident Pattern,MEDIUM,2024-10-01,Incident characteristics match known staged accident patterns,OPEN
FRD-000378,CLM-2026-001630,Medical Bill Padding,LOW,2023-03-15,Medical bills inflated by estimated 79%,OPEN
FRD-000379,CLM-2026-001630,Inconsistent Documentation,MEDIUM,2023-02-23,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000380,CLM-2026-001635,Excessive Claim Amount,HIGH,2023-04-17,"Claim amount $9,389.64 exceeds typical range by 138%",OPEN
FRD-000381,CLM-2026-001637,Witness Inconsistency,MEDIUM,2025-08-28,Witness statements contain conflicting information,CONFIRMED
FRD-000382,CLM-2026-001637,Multiple Claims Short Period,LOW,2025-09-09,Claimant filed 7 claims within 66 days,CLOSED
FRD-000383,CLM-2026-001637,Inconsistent Documentation,LOW,2025-09-06,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000384,CLM-2026-001639,Inconsistent Documentation,MEDIUM,2024-06-21,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000385,CLM-2026-001639,Previous Fraud History,HIGH,2024-06-12,Claimant has 3 previous fraud flags on record,CLOSED
FRD-000386,CLM-2026-001639,Inconsistent Documentation,HIGH,2024-07-06,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000387,CLM-2026-001650,Witness Inconsistency,LOW,2024-06-28,Witness statements contain conflicting information,CLOSED
FRD-000388,CLM-2026-001650,Policyholder Collusion,HIGH,2024-06-21,Evidence suggests coordination between parties,CLOSED
FRD-000389,CLM-2026-001654,Suspicious Timing,CRITICAL,2023-09-04,Claim filed 3 days after policy inception/modification,OPEN
FRD-000390,CLM-2026-001654,Staged Accident Pattern,HIGH,2023-08-16,Incident characteristics match known staged accident patterns,OPEN
FRD-000391,CLM-2026-001659,Witness Inconsistency,HIGH,2024-01-14,Witness statements contain conflicting information,OPEN
FRD-000392,CLM-2026-001669,Witness Inconsistency,LOW,2024-12-12,Witness statements contain conflicting information,OPEN
FRD-000393,CLM-2026-001669,Multiple Claims Short Period,MEDIUM,2024-12-12,Claimant filed 4 claims within 32 days,CLOSED
FRD-000394,CLM-2026-001669,Witness Inconsistency,MEDIUM,2024-12-05,Witness statements contain conflicting information,CLOSED
FRD-000395,CLM-2026-001692,Policyholder Collusion,MEDIUM,2024-12-29,Evidence suggests coordination between parties,OPEN
FRD-000396,CLM-2026-001692,Policyholder Collusion,MEDIUM,2024-12-30,Evidence suggests coordination between parties,CLOSED
FRD-000397,CLM-2026-001693,Multiple Claims Short Period,MEDIUM,2023-03-20,Claimant filed 6 claims within 88 days,CONFIRMED
FRD-000398,CLM-2026-001693,Previous Fraud History,MEDIUM,2023-03-07,Claimant has 2 previous fraud flags on record,CLOSED
FRD-000399,CLM-2026-001693,Phantom Damage,CRITICAL,2023-03-27,Claimed damage not consistent with incident type,CONFIRMED
FRD-000400,CLM-2026-001701,Policyholder Collusion,LOW,2024-08-11,Evidence suggests coordination between parties,CLOSED
FRD-000401,CLM-2026-001701,Previous Fraud History,HIGH,2024-08-31,Claimant has 1 previous fraud flags on record,OPEN
FRD-000402,CLM-2026-001701,Policyholder Collusion,HIGH,2024-08-12,Evidence suggests coordination between parties,OPEN
FRD-000403,CLM-2026-001714,Witness Inconsistency,MEDIUM,2023-07-10,Witness statements contain conflicting information,OPEN
FRD-000404,CLM-2026-001714,Phantom Damage,MEDIUM,2023-06-23,Claimed damage not consistent with incident type,CONFIRMED
FRD-000405,CLM-2026-001718,Inconsistent Documentation,CRITICAL,2024-08-24,Documentation shows inconsistencies in dates and damage descriptions,OPEN
FRD-000406,CLM-2026-001718,Excessive Claim Amount,HIGH,2024-08-06,"Claim amount $1,921.67 exceeds typical range by 107%",OPEN
FRD-000407,CLM-2026-001718,Policyholder Collusion,MEDIUM,2024-08-02,Evidence suggests coordination between parties,CLOSED
FRD-000408,CLM-2026-001750,Witness Inconsistency,CRITICAL,2023-10-03,Witness statements contain conflicting information,CLOSED
FRD-000409,CLM-2026-001750,Policyholder Collusion,MEDIUM,2023-10-13,Evidence suggests coordination between parties,CONFIRMED
FRD-000410,CLM-2026-001750,Suspicious Timing,HIGH,2023-09-28,Claim filed 3 days after policy inception/modification,CLOSED
FRD-000411,CLM-2026-001757,Medical Bill Padding,MEDIUM,2023-06-20,Medical bills inflated by estimated 81%,OPEN
FRD-000412,CLM-2026-001758,Phantom Damage,LOW,2025-04-29,Claimed damage not consistent with incident type,OPEN
FRD-000413,CLM-2026-001769,Staged Accident Pattern,MEDIUM,2025-05-09,Incident characteristics match known staged accident patterns,OPEN
FRD-000414,CLM-2026-001769,Excessive Claim Amount,MEDIUM,2025-05-19,"Claim amount $72,827.36 exceeds typical range by 124%",CLOSED
FRD-000415,CLM-2026-001769,Inconsistent Documentation,CRITICAL,2025-05-20,Documentation shows inconsistencies in dates and damage descriptions,CONFIRMED
FRD-000416,CLM-2026-001782,Staged Accident Pattern,LOW,2025-09-27,Incident characteristics match known staged accident patterns,CLOSED
FRD-000417,CLM-2026-001788,Witness Inconsistency,HIGH,2023-03-19,Witness statements contain conflicting information,CONFIRMED
FRD-000418,CLM-2026-001792,Excessive Claim Amount,MEDIUM,2024-09-03,"Claim amount $9,479.74 exceeds typical range by 147%",OPEN
FRD-000419,CLM-2026-001799,Multiple Claims Short Period,HIGH,2025-05-01,Claimant filed 5 claims within 56 days,OPEN
FRD-000420,CLM-2026-001799,Excessive Claim Amount,MEDIUM,2025-04-28,"Claim amount $18,425.05 exceeds typical range by 80%",OPEN
FRD-000421,CLM-2026-001799,Previous Fraud History,LOW,2025-04-26,Claimant has 3 previous fraud flags on record,CLOSED
FRD-000422,CLM-2026-001811,Medical Bill Padding,HIGH,2024-11-02,Medical bills inflated by estimated 44%,CLOSED
FRD-000423,CLM-2026-001812,Phantom Damage,CRITICAL,2024-03-24,Claimed damage not consistent with incident type,OPEN
FRD-000424,CLM-2026-001813,Excessive Claim Amount,MEDIUM,2023-10-04,"Claim amount $188,835.71 exceeds typical range by 60%",OPEN
FRD-000425,CLM-2026-001818,Multiple Claims Short Period,CRITICAL,2025-10-04,Claimant filed 4 claims within 72 days,CONFIRMED
FRD-000426,CLM-2026-001842,Suspicious Timing,MEDIUM,2023-11-06,Claim filed 4 days after policy inception/modification,CLOSED
FRD-000427,CLM-2026-001843,Witness Inconsistency,CRITICAL,2023-06-08,Witness statements contain conflicting information,OPEN
FRD-000428,CLM-2026-001843,Witness Inconsistency,HIGH,2023-06-05,Witness statements contain conflicting information,OPEN
FRD-000429,CLM-2026-001854,Inconsistent Documentation,LOW,2025-07-27,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000430,CLM-2026-001856,Phantom Damage,MEDIUM,2023-04-30,Claimed damage not consistent with incident type,CLOSED
FRD-000431,CLM-2026-001903,Staged Accident Pattern,LOW,2024-07-15,Incident characteristics match known staged accident patterns,OPEN
FRD-000432,CLM-2026-001903,Medical Bill Padding,MEDIUM,2024-06-24,Medical bills inflated by estimated 71%,OPEN
FRD-000433,CLM-2026-001915,Phantom Damage,MEDIUM,2025-05-09,Claimed damage not consistent with incident type,CLOSED
FRD-000434,CLM-2026-001918,Medical Bill Padding,MEDIUM,2025-07-12,Medical bills inflated by estimated 43%,CLOSED
FRD-000435,CLM-2026-001918,Multiple Claims Short Period,HIGH,2025-07-25,Claimant filed 3 claims within 80 days,CONFIRMED
FRD-000436,CLM-2026-001924,Multiple Claims Short Period,HIGH,2025-08-25,Claimant filed 4 claims within 84 days,CLOSED
FRD-000437,CLM-2026-001924,Excessive Claim Amount,HIGH,2025-09-08,"Claim amount $9,548.10 exceeds typical range by 106%",OPEN
FRD-000438,CLM-2026-001926,Suspicious Timing,HIGH,2023-07-07,Claim filed 4 days after policy inception/modification,CLOSED
FRD-000439,CLM-2026-001926,Excessive Claim Amount,MEDIUM,2023-07-10,"Claim amount $17,768.59 exceeds typical range by 100%",CONFIRMED
FRD-000440,CLM-2026-001926,Suspicious Timing,HIGH,2023-06-28,Claim filed 5 days after policy inception/modification,CLOSED
FRD-000441,CLM-2026-001933,Phantom Damage,CRITICAL,2024-09-12,Claimed damage not consistent with incident type,CLOSED
FRD-000442,CLM-2026-001933,Phantom Damage,MEDIUM,2024-09-05,Claimed damage not consistent with incident type,CLOSED
FRD-000443,CLM-2026-001933,Suspicious Timing,MEDIUM,2024-08-27,Claim filed 5 days after policy inception/modification,CONFIRMED
FRD-000444,CLM-2026-001936,Inconsistent Documentation,HIGH,2024-05-22,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000445,CLM-2026-001936,Staged Accident Pattern,CRITICAL,2024-05-13,Incident characteristics match known staged accident patterns,CONFIRMED
FRD-000446,CLM-2026-001945,Phantom Damage,HIGH,2023-10-17,Claimed damage not consistent with incident type,CLOSED
FRD-000447,CLM-2026-001948,Witness Inconsistency,MEDIUM,2024-08-26,Witness statements contain conflicting information,OPEN
FRD-000448,CLM-2026-001948,Multiple Claims Short Period,HIGH,2024-08-30,Claimant filed 8 claims within 33 days,CONFIRMED
FRD-000449,CLM-2026-001948,Previous Fraud History,LOW,2024-09-22,Claimant has 1 previous fraud flags on record,CLOSED
FRD-000450,CLM-2026-001949,Staged Accident Pattern,HIGH,2024-12-16,Incident characteristics match known staged accident patterns,CLOSED
FRD-000451,CLM-2026-001949,Multiple Claims Short Period,LOW,2024-12-14,Claimant filed 6 claims within 54 days,OPEN
FRD-000452,CLM-2026-001949,Policyholder Collusion,HIGH,2024-11-27,Evidence suggests coordination between parties,CONFIRMED
FRD-000453,CLM-2026-001957,Previous Fraud History,LOW,2023-07-15,Claimant has 1 previous fraud flags on record,CLOSED
FRD-000454,CLM-2026-001960,Previous Fraud History,MEDIUM,2025-09-19,Claimant has 2 previous fraud flags on record,OPEN
FRD-000455,CLM-2026-001960,Inconsistent Documentation,MEDIUM,2025-09-08,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000456,CLM-2026-001960,Excessive Claim Amount,LOW,2025-09-06,"Claim amount $8,311.07 exceeds typical range by 184%",OPEN
FRD-000457,CLM-2026-001979,Phantom Damage,MEDIUM,2023-12-24,Claimed damage not consistent with incident type,OPEN
FRD-000458,CLM-2026-001979,Policyholder Collusion,HIGH,2023-12-29,Evidence suggests coordination between parties,OPEN
FRD-000459,CLM-2026-001979,Policyholder Collusion,CRITICAL,2023-12-18,Evidence suggests coordination between parties,OPEN
FRD-000460,CLM-2026-001984,Previous Fraud History,MEDIUM,2024-11-21,Claimant has 2 previous fraud flags on record,OPEN
FRD-000461,CLM-2026-001984,Staged Accident Pattern,MEDIUM,2024-12-10,Incident characteristics match known staged accident patterns,OPEN
FRD-000462,CLM-2026-001984,Staged Accident Pattern,HIGH,2024-11-22,Incident characteristics match known staged accident patterns,CLOSED
FRD-000463,CLM-2026-001985,Multiple Claims Short Period,LOW,2025-08-22,Claimant filed 6 claims within 75 days,OPEN
FRD-000464,CLM-2026-001987,Policyholder Collusion,HIGH,2024-05-03,Evidence suggests coordination between parties,OPEN
FRD-000465,CLM-2026-001990,Excessive Claim Amount,HIGH,2025-04-19,"Claim amount $47,120.11 exceeds typical range by 66%",OPEN
FRD-000466,CLM-2026-001990,Phantom Damage,HIGH,2025-05-01,Claimed damage not consistent with incident type,OPEN
FRD-000467,CLM-2026-001999,Multiple Claims Short Period,HIGH,2025-07-16,Claimant filed 6 claims within 40 days,CLOSED
FRD-000468,CLM-2026-001999,Inconsistent Documentation,LOW,2025-06-19,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000469,CLM-2026-001999,Witness Inconsistency,MEDIUM,2025-07-17,Witness statements contain conflicting information,CLOSED
FRD-000470,CLM-2026-002007,Inconsistent Documentation,LOW,2025-11-26,Documentation shows inconsistencies in dates and damage descriptions,CONFIRMED
FRD-000471,CLM-2026-002007,Multiple Claims Short Period,MEDIUM,2025-11-11,Claimant filed 7 claims within 59 days,CLOSED
FRD-000472,CLM-2026-002007,Medical Bill Padding,MEDIUM,2025-11-07,Medical bills inflated by estimated 42%,CONFIRMED
FRD-000473,CLM-2026-002009,Medical Bill Padding,HIGH,2025-07-15,Medical bills inflated by estimated 49%,CONFIRMED
FRD-000474,CLM-2026-002009,Witness Inconsistency,MEDIUM,2025-07-15,Witness statements contain conflicting information,OPEN
FRD-000475,CLM-2026-002022,Suspicious Timing,HIGH,2023-06-20,Claim filed 3 days after policy inception/modification,CLOSED
FRD-000476,CLM-2026-002022,Excessive Claim Amount,HIGH,2023-07-05,"Claim amount $7,844.19 exceeds typical range by 85%",OPEN
FRD-000477,CLM-2026-002022,Excessive Claim Amount,HIGH,2023-06-21,"Claim amount $7,844.19 exceeds typical range by 179%",CONFIRMED
FRD-000478,CLM-2026-002025,Previous Fraud History,MEDIUM,2023-03-12,Claimant has 2 previous fraud flags on record,CONFIRMED
FRD-000479,CLM-2026-002025,Previous Fraud History,MEDIUM,2023-02-12,Claimant has 3 previous fraud flags on record,CLOSED
FRD-000480,CLM-2026-002025,Policyholder Collusion,LOW,2023-03-02,Evidence suggests coordination between parties,CLOSED
FRD-000481,CLM-2026-002029,Medical Bill Padding,MEDIUM,2025-09-18,Medical bills inflated by estimated 38%,OPEN
FRD-000482,CLM-2026-002042,Phantom Damage,CRITICAL,2025-10-16,Claimed damage not consistent with incident type,OPEN
FRD-000483,CLM-2026-002059,Previous Fraud History,MEDIUM,2024-03-30,Claimant has 3 previous fraud flags on record,OPEN
FRD-000484,CLM-2026-002059,Excessive Claim Amount,MEDIUM,2024-04-14,"Claim amount $2,938.79 exceeds typical range by 146%",OPEN
FRD-000485,CLM-2026-002059,Medical Bill Padding,MEDIUM,2024-04-03,Medical bills inflated by estimated 51%,CLOSED
FRD-000486,CLM-2026-002063,Inconsistent Documentation,MEDIUM,2026-01-26,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000487,CLM-2026-002113,Medical Bill Padding,MEDIUM,2024-10-09,Medical bills inflated by estimated 32%,CLOSED
FRD-000488,CLM-2026-002113,Inconsistent Documentation,LOW,2024-10-13,Documentation shows inconsistencies in dates and damage descriptions,CONFIRMED
FRD-000489,CLM-2026-002118,Witness Inconsistency,MEDIUM,2023-07-11,Witness statements contain conflicting information,CONFIRMED
FRD-000490,CLM-2026-002118,Medical Bill Padding,HIGH,2023-07-08,Medical bills inflated by estimated 53%,OPEN
FRD-000491,CLM-2026-002118,Suspicious Timing,LOW,2023-06-22,Claim filed 4 days after policy inception/modification,OPEN
FRD-000492,CLM-2026-002122,Witness Inconsistency,CRITICAL,2024-03-17,Witness statements contain conflicting information,CLOSED
FRD-000493,CLM-2026-002122,Excessive Claim Amount,CRITICAL,2024-03-24,"Claim amount $6,232.93 exceeds typical range by 83%",CLOSED
FRD-000494,CLM-2026-002122,Witness Inconsistency,MEDIUM,2024-03-25,Witness statements contain conflicting information,CLOSED
FRD-000495,CLM-2026-002128,Suspicious Timing,MEDIUM,2025-08-05,Claim filed 4 days after policy inception/modification,OPEN
FRD-000496,CLM-2026-002128,Excessive Claim Amount,LOW,2025-08-04,"Claim amount $1,363.72 exceeds typical range by 189%",CONFIRMED
FRD-000497,CLM-2026-002133,Phantom Damage,MEDIUM,2025-08-15,Claimed damage not consistent with incident type,OPEN
FRD-000498,CLM-2026-002133,Policyholder Collusion,HIGH,2025-09-02,Evidence suggests coordination between parties,OPEN
FRD-000499,CLM-2026-002133,Staged Accident Pattern,HIGH,2025-08-27,Incident characteristics match known staged accident patterns,OPEN
FRD-000500,CLM-2026-002134,Policyholder Collusion,HIGH,2025-10-29,Evidence suggests coordination between parties,CONFIRMED
FRD-000501,CLM-2026-002134,Inconsistent Documentation,HIGH,2025-11-05,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000502,CLM-2026-002138,Witness Inconsistency,LOW,2023-05-15,Witness statements contain conflicting information,OPEN
FRD-000503,CLM-2026-002142,Policyholder Collusion,MEDIUM,2023-09-26,Evidence suggests coordination between parties,OPEN
FRD-000504,CLM-2026-002148,Medical Bill Padding,LOW,2024-09-17,Medical bills inflated by estimated 66%,CLOSED
FRD-000505,CLM-2026-002168,Staged Accident Pattern,CRITICAL,2024-01-30,Incident characteristics match known staged accident patterns,CONFIRMED
FRD-000506,CLM-2026-002168,Witness Inconsistency,MEDIUM,2024-02-20,Witness statements contain conflicting information,CLOSED
FRD-000507,CLM-2026-002168,Excessive Claim Amount,CRITICAL,2024-02-05,"Claim amount $21,056.87 exceeds typical range by 193%",OPEN
FRD-000508,CLM-2026-002182,Medical Bill Padding,MEDIUM,2023-07-09,Medical bills inflated by estimated 82%,OPEN
FRD-000509,CLM-2026-002190,Suspicious Timing,HIGH,2024-06-08,Claim filed 5 days after policy inception/modification,CLOSED
FRD-000510,CLM-2026-002190,Staged Accident Pattern,MEDIUM,2024-06-04,Incident characteristics match known staged accident patterns,OPEN
FRD-000511,CLM-2026-002195,Staged Accident Pattern,MEDIUM,2025-03-31,Incident characteristics match known staged accident patterns,CLOSED
FRD-000512,CLM-2026-002195,Previous Fraud History,HIGH,2025-04-05,Claimant has 2 previous fraud flags on record,CLOSED
FRD-000513,CLM-2026-002195,Suspicious Timing,MEDIUM,2025-04-06,Claim filed 2 days after policy inception/modification,OPEN
FRD-000514,CLM-2026-002198,Previous Fraud History,LOW,2024-12-30,Claimant has 1 previous fraud flags on record,OPEN
FRD-000515,CLM-2026-002200,Medical Bill Padding,HIGH,2023-11-02,Medical bills inflated by estimated 77%,CONFIRMED
FRD-000516,CLM-2026-002207,Previous Fraud History,HIGH,2025-09-01,Claimant has 2 previous fraud flags on record,OPEN
FRD-000517,CLM-2026-002207,Witness Inconsistency,MEDIUM,2025-09-18,Witness statements contain conflicting information,CONFIRMED
FRD-000518,CLM-2026-002207,Medical Bill Padding,LOW,2025-09-03,Medical bills inflated by estimated 31%,OPEN
FRD-000519,CLM-2026-002227,Suspicious Timing,MEDIUM,2024-01-28,Claim filed 5 days after policy inception/modification,CONFIRMED
FRD-000520,CLM-2026-002240,Suspicious Timing,MEDIUM,2025-07-17,Claim filed 4 days after policy inception/modification,OPEN
FRD-000521,CLM-2026-002240,Inconsistent Documentation,HIGH,2025-07-30,Documentation shows inconsistencies in dates and damage descriptions,OPEN
FRD-000522,CLM-2026-002254,Witness Inconsistency,MEDIUM,2024-04-13,Witness statements contain conflicting information,CONFIRMED
FRD-000523,CLM-2026-002254,Phantom Damage,HIGH,2024-04-27,Claimed damage not consistent with incident type,OPEN
FRD-000524,CLM-2026-002261,Inconsistent Documentation,HIGH,2023-04-15,Documentation shows inconsistencies in dates and damage descriptions,OPEN
FRD-000525,CLM-2026-002277,Phantom Damage,CRITICAL,2023-09-06,Claimed damage not consistent with incident type,OPEN
FRD-000526,CLM-2026-002277,Policyholder Collusion,MEDIUM,2023-09-03,Evidence suggests coordination between parties,CLOSED
FRD-000527,CLM-2026-002277,Medical Bill Padding,HIGH,2023-09-16,Medical bills inflated by estimated 51%,OPEN
FRD-000528,CLM-2026-002278,Policyholder Collusion,MEDIUM,2025-10-06,Evidence suggests coordination between parties,CLOSED
FRD-000529,CLM-2026-002278,Previous Fraud History,HIGH,2025-10-12,Claimant has 2 previous fraud flags on record,CONFIRMED
FRD-000530,CLM-2026-002278,Witness Inconsistency,CRITICAL,2025-10-18,Witness statements contain conflicting information,CLOSED
FRD-000531,CLM-2026-002294,Inconsistent Documentation,LOW,2025-06-12,Documentation shows inconsistencies in dates and damage descriptions,OPEN
FRD-000532,CLM-2026-002300,Excessive Claim Amount,MEDIUM,2024-02-26,"Claim amount $3,710.26 exceeds typical range by 89%",OPEN
FRD-000533,CLM-2026-002309,Inconsistent Documentation,CRITICAL,2023-11-12,Documentation shows inconsistencies in dates and damage descriptions,CONFIRMED
FRD-000534,CLM-2026-002309,Medical Bill Padding,CRITICAL,2023-11-24,Medical bills inflated by estimated 47%,CLOSED
FRD-000535,CLM-2026-002309,Policyholder Collusion,MEDIUM,2023-11-13,Evidence suggests coordination between parties,CLOSED
FRD-000536,CLM-2026-002313,Excessive Claim Amount,MEDIUM,2023-06-08,"Claim amount $148,726.28 exceeds typical range by 143%",CLOSED
FRD-000537,CLM-2026-002317,Suspicious Timing,MEDIUM,2023-08-10,Claim filed 4 days after policy inception/modification,CLOSED
FRD-000538,CLM-2026-002324,Policyholder Collusion,MEDIUM,2024-07-08,Evidence suggests coordination between parties,CLOSED
FRD-000539,CLM-2026-002324,Staged Accident Pattern,LOW,2024-07-11,Incident characteristics match known staged accident patterns,OPEN
FRD-000540,CLM-2026-002329,Previous Fraud History,CRITICAL,2024-07-22,Claimant has 2 previous fraud flags on record,OPEN
FRD-000541,CLM-2026-002329,Excessive Claim Amount,LOW,2024-07-17,"Claim amount $40,000.76 exceeds typical range by 165%",OPEN
FRD-000542,CLM-2026-002329,Phantom Damage,HIGH,2024-08-09,Claimed damage not consistent with incident type,OPEN
FRD-000543,CLM-2026-002332,Inconsistent Documentation,HIGH,2025-08-13,Documentation shows inconsistencies in dates and damage descriptions,CONFIRMED
FRD-000544,CLM-2026-002334,Multiple Claims Short Period,LOW,2024-09-02,Claimant filed 5 claims within 35 days,OPEN
FRD-000545,CLM-2026-002334,Previous Fraud History,HIGH,2024-09-01,Claimant has 1 previous fraud flags on record,OPEN
FRD-000546,CLM-2026-002345,Staged Accident Pattern,MEDIUM,2025-06-18,Incident characteristics match known staged accident patterns,CONFIRMED
FRD-000547,CLM-2026-002346,Multiple Claims Short Period,MEDIUM,2023-08-02,Claimant filed 8 claims within 89 days,OPEN
FRD-000548,CLM-2026-002363,Staged Accident Pattern,HIGH,2025-02-16,Incident characteristics match known staged accident patterns,OPEN
FRD-000549,CLM-2026-002368,Multiple Claims Short Period,MEDIUM,2023-11-21,Claimant filed 3 claims within 67 days,OPEN
FRD-000550,CLM-2026-002371,Excessive Claim Amount,MEDIUM,2024-11-30,"Claim amount $71,857.87 exceeds typical range by 136%",CLOSED
FRD-000551,CLM-2026-002371,Excessive Claim Amount,HIGH,2024-12-10,"Claim amount $71,857.87 exceeds typical range by 109%",CLOSED
FRD-000552,CLM-2026-002382,Witness Inconsistency,HIGH,2024-07-08,Witness statements contain conflicting information,OPEN
FRD-000553,CLM-2026-002384,Medical Bill Padding,HIGH,2025-07-10,Medical bills inflated by estimated 71%,CONFIRMED
FRD-000554,CLM-2026-002384,Policyholder Collusion,MEDIUM,2025-07-10,Evidence suggests coordination between parties,CLOSED
FRD-000555,CLM-2026-002384,Medical Bill Padding,HIGH,2025-07-13,Medical bills inflated by estimated 32%,CONFIRMED
FRD-000556,CLM-2026-002389,Suspicious Timing,HIGH,2023-12-10,Claim filed 2 days after policy inception/modification,CLOSED
FRD-000557,CLM-2026-002398,Previous Fraud History,HIGH,2025-01-26,Claimant has 1 previous fraud flags on record,CONFIRMED
FRD-000558,CLM-2026-002398,Inconsistent Documentation,LOW,2025-01-26,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000559,CLM-2026-002398,Witness Inconsistency,LOW,2025-02-01,Witness statements contain conflicting information,CLOSED
FRD-000560,CLM-2026-002404,Multiple Claims Short Period,MEDIUM,2025-10-22,Claimant filed 4 claims within 71 days,CONFIRMED
FRD-000561,CLM-2026-002405,Suspicious Timing,HIGH,2025-04-27,Claim filed 1 days after policy inception/modification,CONFIRMED
FRD-000562,CLM-2026-002405,Phantom Damage,LOW,2025-05-16,Claimed damage not consistent with incident type,OPEN
FRD-000563,CLM-2026-002408,Inconsistent Documentation,HIGH,2024-10-05,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000564,CLM-2026-002408,Excessive Claim Amount,MEDIUM,2024-09-18,"Claim amount $14,627.82 exceeds typical range by 96%",CLOSED
FRD-000565,CLM-2026-002408,Policyholder Collusion,HIGH,2024-09-26,Evidence suggests coordination between parties,CONFIRMED
FRD-000566,CLM-2026-002409,Suspicious Timing,HIGH,2023-11-29,Claim filed 2 days after policy inception/modification,CLOSED
FRD-000567,CLM-2026-002409,Suspicious Timing,HIGH,2023-11-16,Claim filed 1 days after policy inception/modification,OPEN
FRD-000568,CLM-2026-002428,Multiple Claims Short Period,CRITICAL,2023-02-05,Claimant filed 5 claims within 44 days,CLOSED
FRD-000569,CLM-2026-002428,Policyholder Collusion,LOW,2023-01-31,Evidence suggests coordination between parties,CONFIRMED
FRD-000570,CLM-2026-002431,Staged Accident Pattern,HIGH,2023-10-30,Incident characteristics match known staged accident patterns,CLOSED
FRD-000571,CLM-2026-002442,Suspicious Timing,HIGH,2024-08-08,Claim filed 5 days after policy inception/modification,OPEN
FRD-000572,CLM-2026-002442,Policyholder Collusion,MEDIUM,2024-08-26,Evidence suggests coordination between parties,OPEN
FRD-000573,CLM-2026-002442,Staged Accident Pattern,MEDIUM,2024-07-31,Incident characteristics match known staged accident patterns,OPEN
FRD-000574,CLM-2026-002446,Inconsistent Documentation,CRITICAL,2023-03-21,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000575,CLM-2026-002446,Phantom Damage,LOW,2023-02-27,Claimed damage not consistent with incident type,CLOSED
FRD-000576,CLM-2026-002446,Multiple Claims Short Period,MEDIUM,2023-03-19,Claimant filed 7 claims within 55 days,OPEN
FRD-000577,CLM-2026-002460,Medical Bill Padding,HIGH,2025-05-26,Medical bills inflated by estimated 55%,CLOSED
FRD-000578,CLM-2026-002470,Excessive Claim Amount,LOW,2023-03-05,"Claim amount $163,765.15 exceeds typical range by 160%",CLOSED
FRD-000579,CLM-2026-002471,Staged Accident Pattern,HIGH,2023-04-08,Incident characteristics match known staged accident patterns,CLOSED
FRD-000580,CLM-2026-002471,Inconsistent Documentation,HIGH,2023-04-10,Documentation shows inconsistencies in dates and damage descriptions,OPEN
FRD-000581,CLM-2026-002487,Multiple Claims Short Period,HIGH,2025-08-06,Claimant filed 4 claims within 90 days,OPEN
FRD-000582,CLM-2026-002487,Medical Bill Padding,MEDIUM,2025-08-19,Medical bills inflated by estimated 57%,CONFIRMED
FRD-000583,CLM-2026-002487,Phantom Damage,HIGH,2025-08-24,Claimed damage not consistent with incident type,CLOSED
