policy_number,total_claims,total_amount_paid,avg_claim_amount,last_claim_date,first_claim_date,claims_trend,policy_type,fraud_claims_count
POL-2024-143,4,149252.23,52945.32,2025-09-10,2023-08-19,INCREASING,AUTO,0
POL-2021-045,1,6463.68,6463.68,2025-04-21,2025-04-21,INSUFFICIENT_DATA,AUTO,0
POL-2020-876,4,12088.99,22585.44,2025-01-12,2023-11-25,INCREASING,AUTO,0
POL-2021-300,2,0.0,123984.49,2023-11-23,2023-04-14,INSUFFICIENT_DATA,AUTO,1
POL-2021-756,1,0.0,117270.68,2025-01-01,2025-01-01,INSUFFICIENT_DATA,AUTO,0
POL-2020-416,3,0.0,13294.68,2025-12-11,2023-06-11,DECREASING,AUTO,1
POL-2021-208,3,96360.7,44308.1,2025-10-25,2023-12-21,INCREASING,AUTO,1
POL-2022-410,2,0.0,10845.52,2025-09-13,2025-07-27,INSUFFICIENT_DATA,AUTO,0
POL-2024-342,3,3723.78,9471.46,2025-12-18,2023-06-05,INCREASING,AUTO,1
POL-2021-076,3,18681.25,16015.62,2024-09-01,2023-12-03,INCREASING,AUTO,1
POL-2025-419,1,0.0,83027.92,2023-10-14,2023-10-14,INSUFFICIENT_DATA,AUTO,0
POL-2024-515,2,16037.2,31100.38,2023-12-15,2023-12-12,INSUFFICIENT_DATA,AUTO,1
POL-2020-472,5,102464.18,49030.5,2025-09-06,2023-06-12,INCREASING,AUTO,0
POL-2020-787,3,154266.45,60357.5,2025-05-26,2023-05-17,DECREASING,AUTO,0
POL-2025-611,3,66666.04,34754.23,2025-04-11,2023-07-06,INCREASING,AUTO,1
POL-2023-099,5,120216.37,47243.11,2025-09-12,2023-02-13,DECREASING,AUTO,0
POL-2022-409,1,0.0,19620.13,2025-01-24,2025-01-24,INSUFFICIENT_DATA,AUTO,0
POL-2025-878,1,0.0,31767.22,2025-01-26,2025-01-26,INSUFFICIENT_DATA,AUTO,0
POL-2021-256,1,0.0,57077.33,2023-10-22,2023-10-22,INSUFFICIENT_DATA,AUTO,1
POL-2020-921,2,42528.51,32424.75,2025-01-24,2024-03-01,INSUFFICIENT_DATA,AUTO,1
POL-2025-968,1,0.0,53590.32,2024-11-30,2024-11-30,INSUFFICIENT_DATA,AUTO,0
POL-2023-675,4,43347.95,62871.63,2025-03-23,2023-01-30,DECREASING,AUTO,0
POL-2023-389,3,0.0,50391.5,2024-10-25,2023-02-17,DECREASING,AUTO,0
POL-2023-254,3,38386.0,15750.2,2025-11-21,2023-10-20,DECREASING,AUTO,0
POL-2025-321,1,27152.52,27152.52,2025-12-25,2025-12-25,INSUFFICIENT_DATA,AUTO,0
POL-2021-556,2,48869.07,24434.54,2025-03-13,2024-01-26,INSUFFICIENT_DATA,AUTO,0
POL-2020-782,2,143229.87,71614.94,2025-09-18,2023-03-17,INSUFFICIENT_DATA,AUTO,0
POL-2023-997,4,19485.8,22643.16,2026-01-07,2023-06-05,DECREASING,AUTO,0
POL-2021-464,3,43343.07,32300.85,2026-01-04,2023-07-23,INCREASING,AUTO,0
POL-2023-134,2,99162.04,49581.02,2023-11-03,2023-02-16,INSUFFICIENT_DATA,AUTO,0
POL-2021-897,4,15594.14,24744.44,2025-11-16,2023-02-23,DECREASING,AUTO,1
POL-2021-711,2,65105.71,33445.87,2026-01-02,2024-07-17,INSUFFICIENT_DATA,AUTO,0
POL-2022-258,5,78064.03,30650.01,2025-03-24,2023-08-08,DECREASING,AUTO,2
POL-2020-696,1,9999.89,9999.89,2024-07-01,2024-07-01,INSUFFICIENT_DATA,AUTO,0
POL-2024-260,1,0.0,70536.79,2023-09-30,2023-09-30,INSUFFICIENT_DATA,AUTO,0
POL-2024-686,1,65583.92,65583.92,2023-06-04,2023-06-04,INSUFFICIENT_DATA,AUTO,0
POL-2022-261,2,12389.63,36619.42,2025-12-22,2023-12-17,INSUFFICIENT_DATA,AUTO,1
POL-2023-330,2,34423.68,17211.84,2025-04-04,2025-02-10,INSUFFICIENT_DATA,AUTO,0
POL-2024-782,2,67856.96,36684.7,2025-02-12,2023-04-10,INSUFFICIENT_DATA,AUTO,1
POL-2022-406,2,3166.51,8722.65,2024-01-29,2023-05-24,INSUFFICIENT_DATA,AUTO,0
POL-2024-574,3,166114.07,56119.66,2025-06-09,2024-01-21,INCREASING,AUTO,0
POL-2023-374,3,69709.67,23236.56,2025-06-10,2024-01-26,DECREASING,AUTO,1
POL-2024-292,2,25132.56,25563.91,2025-12-24,2023-11-22,INSUFFICIENT_DATA,AUTO,1
POL-2022-777,2,25947.97,30443.06,2025-11-06,2023-12-11,INSUFFICIENT_DATA,AUTO,0
POL-2022-043,2,29154.02,14577.01,2025-10-29,2025-06-06,INSUFFICIENT_DATA,AUTO,0
POL-2021-093,2,33371.23,19606.56,2025-03-24,2024-08-29,INSUFFICIENT_DATA,AUTO,0
POL-2021-968,3,25588.89,20840.75,2025-11-21,2023-04-03,STABLE,AUTO,0
POL-2020-747,5,66673.54,15794.84,2025-08-22,2023-03-01,INCREASING,AUTO,1
POL-2023-893,4,11758.3,19615.38,2025-11-29,2023-10-22,STABLE,AUTO,0
POL-2025-602,2,20193.4,10446.44,2025-04-09,2023-09-19,INSUFFICIENT_DATA,AUTO,0
POL-2023-605,1,11484.36,11484.36,2025-12-27,2025-12-27,INSUFFICIENT_DATA,AUTO,0
POL-2022-535,3,7111.84,13709.32,2025-01-03,2024-06-15,DECREASING,AUTO,0
POL-2020-870,1,0.0,29674.54,2023-04-14,2023-04-14,INSUFFICIENT_DATA,AUTO,0
POL-2024-492,3,54029.49,42707.07,2025-10-04,2024-03-06,STABLE,AUTO,0
POL-2023-468,2,37386.45,20486.04,2025-11-04,2023-03-02,INSUFFICIENT_DATA,AUTO,0
POL-2023-867,3,56273.08,21653.41,2024-08-04,2023-06-13,INCREASING,AUTO,0
POL-2021-537,2,1220.94,3243.96,2024-11-13,2023-10-30,INSUFFICIENT_DATA,AUTO,0
POL-2023-448,3,209802.95,74719.98,2025-09-20,2023-06-27,DECREASING,AUTO,1
POL-2022-617,1,0.0,7816.76,2023-02-20,2023-02-20,INSUFFICIENT_DATA,AUTO,0
POL-2022-992,3,23113.82,30260.84,2025-05-23,2024-04-10,DECREASING,AUTO,0
POL-2021-910,2,80074.18,46367.38,2025-09-02,2025-07-26,INSUFFICIENT_DATA,AUTO,0
POL-2024-203,1,12638.47,12638.47,2023-08-11,2023-08-11,INSUFFICIENT_DATA,AUTO,0
POL-2024-777,3,58272.43,22585.95,2025-09-15,2023-03-08,INCREASING,AUTO,0
POL-2023-781,4,43870.9,10967.72,2025-03-12,2023-01-12,STABLE,AUTO,1
POL-2023-573,2,54388.44,27194.22,2025-12-21,2023-06-03,INSUFFICIENT_DATA,AUTO,1
POL-2021-172,1,36100.27,36100.27,2024-04-20,2024-04-20,INSUFFICIENT_DATA,AUTO,0
POL-2022-774,2,45784.2,22892.1,2025-09-19,2025-07-18,INSUFFICIENT_DATA,AUTO,0
POL-2021-149,2,0.0,57408.09,2024-10-01,2024-03-05,INSUFFICIENT_DATA,AUTO,1
POL-2023-627,2,76086.71,45053.14,2024-06-07,2024-04-29,INSUFFICIENT_DATA,AUTO,0
POL-2025-547,6,76108.81,26221.85,2025-02-09,2023-05-06,DECREASING,AUTO,2
POL-2024-268,2,60859.03,48888.66,2025-07-10,2024-11-16,INSUFFICIENT_DATA,AUTO,0
POL-2023-094,3,15682.46,5227.49,2024-06-30,2023-04-22,INCREASING,AUTO,1
POL-2024-139,2,62092.14,41415.26,2025-12-19,2023-06-09,INSUFFICIENT_DATA,AUTO,0
POL-2020-633,2,51787.42,25893.71,2025-12-12,2024-06-19,INSUFFICIENT_DATA,AUTO,0
POL-2021-124,1,18330.77,18330.77,2023-05-03,2023-05-03,INSUFFICIENT_DATA,AUTO,0
POL-2024-596,2,260.18,6266.5,2024-07-19,2023-06-06,INSUFFICIENT_DATA,AUTO,0
POL-2025-782,1,16264.99,16264.99,2023-09-23,2023-09-23,INSUFFICIENT_DATA,AUTO,0
POL-2022-012,3,104986.81,42565.48,2025-08-05,2024-10-04,DECREASING,AUTO,0
POL-2024-027,2,10524.34,5262.17,2023-12-17,2023-09-21,INSUFFICIENT_DATA,AUTO,0
POL-2023-456,2,101328.53,50664.26,2025-05-10,2023-11-01,INSUFFICIENT_DATA,AUTO,0
POL-2020-744,1,0.0,18269.56,2025-08-10,2025-08-10,INSUFFICIENT_DATA,AUTO,0
POL-2024-806,2,3952.87,1976.44,2025-11-21,2023-03-26,INSUFFICIENT_DATA,AUTO,0
POL-2024-592,2,16092.26,8046.13,2024-12-12,2024-02-20,INSUFFICIENT_DATA,AUTO,0
POL-2024-807,3,60767.52,24036.65,2024-06-10,2023-08-01,INCREASING,AUTO,0
POL-2025-963,3,7035.28,4475.92,2025-02-15,2023-07-24,INCREASING,AUTO,1
POL-2021-793,2,46684.69,23342.34,2025-10-07,2023-04-12,INSUFFICIENT_DATA,AUTO,0
POL-2022-127,1,17092.73,17092.73,2025-12-11,2025-12-11,INSUFFICIENT_DATA,AUTO,0
POL-2020-108,3,12753.07,18023.31,2025-12-01,2023-01-29,STABLE,AUTO,0
POL-2024-907,3,2249.19,15060.89,2025-03-25,2024-03-30,INCREASING,AUTO,0
POL-2024-019,3,6615.75,46121.67,2024-03-23,2023-07-11,INCREASING,AUTO,0
POL-2025-800,1,0.0,54908.38,2023-12-05,2023-12-05,INSUFFICIENT_DATA,AUTO,0
POL-2025-646,2,3730.33,29820.6,2024-01-13,2023-05-01,INSUFFICIENT_DATA,AUTO,0
POL-2024-893,2,15110.4,7555.2,2025-11-01,2024-01-09,INSUFFICIENT_DATA,AUTO,0
POL-2024-454,1,308.2,308.2,2025-08-16,2025-08-16,INSUFFICIENT_DATA,AUTO,0
POL-2020-597,1,0.0,21849.38,2023-07-11,2023-07-11,INSUFFICIENT_DATA,AUTO,0
POL-2023-995,4,28582.19,9464.63,2025-08-12,2024-11-25,DECREASING,AUTO,0
POL-2021-290,1,11546.62,11546.62,2024-09-06,2024-09-06,INSUFFICIENT_DATA,AUTO,0
POL-2025-644,1,0.0,9526.71,2025-08-10,2025-08-10,INSUFFICIENT_DATA,AUTO,1
POL-2020-684,4,85167.82,22317.01,2024-11-14,2023-06-19,INCREASING,AUTO,0
POL-2025-647,5,74387.92,34517.82,2025-02-21,2023-01-18,STABLE,AUTO,0
POL-2020-423,5,84572.44,33207.67,2025-10-06,2023-02-10,DECREASING,AUTO,2
POL-2023-470,4,87183.5,21795.88,2025-08-16,2023-03-19,STABLE,AUTO,0
POL-2024-884,1,18405.83,18405.83,2024-03-11,2024-03-11,INSUFFICIENT_DATA,AUTO,0
POL-2025-913,1,8111.48,8111.48,2023-03-19,2023-03-19,INSUFFICIENT_DATA,AUTO,0
POL-2020-727,2,13542.96,6771.48,2025-11-17,2025-03-11,INSUFFICIENT_DATA,AUTO,1
POL-2024-959,2,3194.49,6769.82,2023-10-23,2023-08-23,INSUFFICIENT_DATA,AUTO,0
POL-2020-616,2,86878.42,43439.21,2025-12-03,2025-08-02,INSUFFICIENT_DATA,AUTO,0
POL-2025-897,3,0.0,4348.02,2024-01-24,2023-03-19,INCREASING,AUTO,0
POL-2020-525,1,0.0,19452.38,2025-05-27,2025-05-27,INSUFFICIENT_DATA,AUTO,0
POL-2024-161,2,0.0,50558.36,2025-12-03,2025-11-21,INSUFFICIENT_DATA,AUTO,0
POL-2020-783,3,2463.55,7565.72,2025-11-25,2025-08-26,DECREASING,AUTO,0
POL-2024-919,3,22476.86,10696.66,2024-11-15,2024-09-11,STABLE,AUTO,0
POL-2023-339,2,1779.94,1882.3,2023-10-27,2023-10-04,INSUFFICIENT_DATA,AUTO,0
POL-2020-506,2,47730.95,26199.67,2024-02-09,2023-11-28,INSUFFICIENT_DATA,AUTO,1
POL-2024-026,3,21980.63,21179.04,2025-04-29,2023-08-18,DECREASING,AUTO,1
POL-2023-494,2,0.0,59986.63,2025-05-04,2023-01-31,INSUFFICIENT_DATA,AUTO,0
POL-2021-349,2,11655.47,5827.74,2024-07-23,2024-03-10,INSUFFICIENT_DATA,AUTO,0
POL-2021-344,6,55648.84,29035.61,2025-09-25,2023-07-20,STABLE,AUTO,2
POL-2024-345,4,2900.9,32776.8,2025-12-09,2024-05-23,DECREASING,AUTO,0
POL-2020-112,3,0.0,8275.53,2025-05-03,2024-12-15,DECREASING,AUTO,0
POL-2022-470,1,0.0,10332.23,2024-07-22,2024-07-22,INSUFFICIENT_DATA,AUTO,0
POL-2023-763,1,0.0,34505.38,2024-08-17,2024-08-17,INSUFFICIENT_DATA,AUTO,0
POL-2024-561,1,516.09,516.09,2024-08-02,2024-08-02,INSUFFICIENT_DATA,AUTO,0
POL-2024-296,2,0.0,65327.56,2025-06-18,2024-03-18,INSUFFICIENT_DATA,AUTO,0
POL-2024-348,1,0.0,1002.43,2023-12-29,2023-12-29,INSUFFICIENT_DATA,AUTO,0
POL-2025-530,3,128580.58,48357.91,2024-06-10,2023-09-01,DECREASING,AUTO,0
POL-2020-309,4,52845.78,13529.67,2025-07-14,2024-04-24,DECREASING,AUTO,0
POL-2020-372,1,0.0,14408.19,2023-04-10,2023-04-10,INSUFFICIENT_DATA,AUTO,0
POL-2025-516,3,17303.23,22126.5,2024-03-20,2023-12-21,INCREASING,AUTO,0
POL-2023-894,1,0.0,9389.64,2023-03-21,2023-03-21,INSUFFICIENT_DATA,AUTO,1
POL-2024-467,1,0.0,15303.71,2023-07-28,2023-07-28,INSUFFICIENT_DATA,AUTO,0
POL-2022-900,5,32234.24,18607.7,2025-09-11,2024-01-02,DECREASING,AUTO,1
POL-2023-532,3,27115.26,14938.7,2025-12-01,2024-05-27,INCREASING,AUTO,0
POL-2023-527,1,0.0,863.43,2025-09-05,2025-09-05,INSUFFICIENT_DATA,AUTO,0
POL-2025-798,1,0.0,29022.64,2024-12-02,2024-12-02,INSUFFICIENT_DATA,AUTO,0
POL-2025-936,4,27495.02,8776.54,2025-05-23,2023-06-03,INCREASING,AUTO,0
POL-2025-173,2,0.0,9708.1,2024-08-14,2024-07-15,INSUFFICIENT_DATA,AUTO,0
POL-2025-884,3,28510.84,10731.42,2025-03-07,2024-12-14,DECREASING,AUTO,1
POL-2024-902,5,18383.34,56190.77,2024-06-23,2023-03-14,DECREASING,AUTO,1
POL-2022-721,6,8516.5,23061.16,2025-11-13,2023-03-20,INCREASING,AUTO,1
POL-2022-152,1,0.0,46378.7,2024-05-07,2024-05-07,INSUFFICIENT_DATA,AUTO,0
POL-2023-672,3,30286.37,11253.75,2024-06-19,2023-11-07,INCREASING,AUTO,2
POL-2024-732,2,0.0,11135.86,2024-09-06,2024-06-16,INSUFFICIENT_DATA,AUTO,0
POL-2021-433,3,25440.85,21253.4,2025-01-27,2023-10-27,INCREASING,AUTO,1
POL-2024-205,2,18403.68,102720.06,2023-12-03,2023-05-30,INSUFFICIENT_DATA,AUTO,1
POL-2021-091,1,10447.14,10447.14,2024-08-01,2024-08-01,INSUFFICIENT_DATA,AUTO,0
POL-2023-382,4,153582.42,63684.3,2025-05-30,2023-01-26,INCREASING,AUTO,0
POL-2023-832,2,54512.2,51908.03,2025-12-15,2023-11-29,INSUFFICIENT_DATA,AUTO,0
POL-2025-849,2,82255.66,41127.83,2024-12-20,2024-03-23,INSUFFICIENT_DATA,AUTO,0
POL-2025-181,3,80351.9,31210.17,2025-01-03,2023-04-28,DECREASING,AUTO,1
POL-2020-484,4,58641.37,37337.18,2025-04-09,2023-06-24,DECREASING,AUTO,0
POL-2021-401,3,21589.29,21220.18,2024-05-30,2023-10-10,INCREASING,AUTO,1
POL-2025-187,2,939.83,37809.2,2024-02-29,2023-02-09,INSUFFICIENT_DATA,AUTO,0
POL-2023-956,1,3333.96,3333.96,2024-04-15,2024-04-15,INSUFFICIENT_DATA,AUTO,0
POL-2025-868,2,39055.31,19527.66,2025-07-03,2023-12-11,INSUFFICIENT_DATA,AUTO,0
POL-2020-100,4,72847.77,33018.6,2024-12-20,2023-03-31,DECREASING,AUTO,0
POL-2020-926,2,61192.4,35534.86,2024-11-15,2024-02-03,INSUFFICIENT_DATA,AUTO,1
POL-2025-367,6,124217.68,32358.11,2025-06-13,2023-06-15,INCREASING,AUTO,1
POL-2021-092,3,120502.09,47507.94,2024-08-09,2023-04-06,INCREASING,AUTO,0
POL-2021-164,2,23003.87,16818.15,2025-08-05,2023-08-31,INSUFFICIENT_DATA,AUTO,1
POL-2024-225,1,121975.49,121975.49,2025-06-20,2025-06-20,INSUFFICIENT_DATA,AUTO,0
POL-2024-675,3,65252.09,72829.53,2025-11-06,2023-02-24,DECREASING,AUTO,1
POL-2025-186,1,26105.04,26105.04,2023-10-16,2023-10-16,INSUFFICIENT_DATA,AUTO,0
POL-2022-981,2,21134.61,10567.3,2025-05-31,2024-12-26,INSUFFICIENT_DATA,AUTO,0
POL-2023-022,2,39422.65,19711.32,2024-11-03,2023-07-22,INSUFFICIENT_DATA,AUTO,0
POL-2025-984,2,0.0,37258.48,2025-09-28,2023-11-10,INSUFFICIENT_DATA,AUTO,0
POL-2024-668,2,26948.35,31409.64,2025-12-01,2023-03-11,INSUFFICIENT_DATA,AUTO,0
POL-2022-945,2,0.0,39820.8,2025-08-08,2024-08-20,INSUFFICIENT_DATA,AUTO,0
POL-2020-292,4,300381.85,87633.56,2025-09-14,2023-09-19,DECREASING,AUTO,1
POL-2025-955,2,16816.25,16390.59,2025-10-11,2023-06-09,INSUFFICIENT_DATA,AUTO,0
POL-2020-529,4,98622.35,33765.45,2025-04-07,2023-10-17,INCREASING,AUTO,1
POL-2024-432,3,20780.53,21863.37,2024-03-07,2023-03-15,INCREASING,AUTO,0
POL-2022-248,4,23593.4,46270.41,2025-06-18,2023-04-07,DECREASING,AUTO,0
POL-2025-138,2,0.0,88441.44,2024-12-16,2024-09-17,INSUFFICIENT_DATA,AUTO,1
POL-2021-019,1,0.0,2545.01,2023-02-28,2023-02-28,INSUFFICIENT_DATA,AUTO,1
POL-2020-340,1,40437.46,40437.46,2025-11-21,2025-11-21,INSUFFICIENT_DATA,AUTO,0
POL-2021-070,2,17643.5,40991.8,2025-05-06,2024-02-15,INSUFFICIENT_DATA,AUTO,0
POL-2022-513,1,7257.9,7257.9,2024-03-03,2024-03-03,INSUFFICIENT_DATA,AUTO,0
POL-2025-911,3,26220.98,11465.11,2024-10-06,2023-12-21,INCREASING,AUTO,1
POL-2024-841,2,16169.86,13993.72,2025-12-02,2024-03-22,INSUFFICIENT_DATA,AUTO,0
POL-2020-054,2,83511.76,88740.5,2025-03-31,2024-02-17,INSUFFICIENT_DATA,AUTO,0
POL-2025-873,2,52213.93,34749.5,2025-07-19,2023-10-13,INSUFFICIENT_DATA,AUTO,0
POL-2021-625,3,7466.1,10291.75,2025-03-09,2023-04-01,INCREASING,AUTO,0
POL-2022-531,4,28630.28,23191.79,2024-09-12,2024-03-19,INCREASING,AUTO,0
POL-2021-215,3,13689.39,6526.16,2025-02-26,2024-05-19,INCREASING,AUTO,0
POL-2022-287,1,0.0,133390.67,2024-05-12,2024-05-12,INSUFFICIENT_DATA,AUTO,0
POL-2022-996,1,13012.08,13012.08,2023-09-29,2023-09-29,INSUFFICIENT_DATA,AUTO,0
POL-2025-833,1,13083.49,13083.49,2023-12-18,2023-12-18,INSUFFICIENT_DATA,AUTO,0
POL-2022-427,3,52520.76,29261.11,2024-01-14,2023-03-06,INCREASING,AUTO,0
POL-2023-459,2,33669.15,54311.7,2025-09-20,2023-09-09,INSUFFICIENT_DATA,AUTO,0
POL-2021-510,1,0.0,13737.54,2023-06-17,2023-06-17,INSUFFICIENT_DATA,AUTO,1
POL-2022-633,6,91317.66,24074.26,2025-10-05,2024-03-11,DECREASING,AUTO,0
POL-2022-804,1,19623.92,19623.92,2023-01-29,2023-01-29,INSUFFICIENT_DATA,AUTO,0
POL-2023-929,4,67389.71,16847.43,2025-04-24,2024-07-26,INCREASING,AUTO,2
POL-2024-783,2,0.0,30635.2,2024-12-26,2024-12-08,INSUFFICIENT_DATA,AUTO,0
POL-2022-140,2,4038.71,4923.3,2023-12-14,2023-10-11,INSUFFICIENT_DATA,AUTO,0
POL-2023-815,3,120103.74,58187.61,2025-09-16,2024-05-31,DECREASING,AUTO,0
POL-2020-534,2,41070.51,29425.17,2025-10-29,2023-07-01,INSUFFICIENT_DATA,AUTO,0
POL-2021-802,3,13888.86,5406.18,2024-05-19,2023-02-08,DECREASING,AUTO,1
POL-2025-700,3,0.0,55989.46,2025-04-21,2023-09-07,DECREASING,AUTO,0
POL-2021-761,3,24553.17,29267.41,2025-08-06,2023-06-17,INCREASING,AUTO,0
POL-2021-692,4,73532.38,22357.94,2025-10-23,2023-01-27,DECREASING,AUTO,0
POL-2020-069,4,9953.59,18866.16,2026-01-08,2023-09-09,INCREASING,AUTO,1
POL-2020-369,3,131282.71,48673.57,2025-06-08,2023-05-27,DECREASING,AUTO,1
POL-2024-956,2,22520.7,11260.35,2024-04-17,2023-08-10,INSUFFICIENT_DATA,AUTO,0
POL-2021-219,3,4340.98,17240.31,2025-03-26,2023-03-15,DECREASING,AUTO,0
POL-2024-629,4,23161.48,45438.35,2025-10-26,2024-04-04,INCREASING,AUTO,0
POL-2020-019,4,52696.36,39746.16,2025-09-06,2024-06-16,DECREASING,AUTO,0
POL-2023-865,3,174786.6,58262.2,2024-04-22,2023-08-31,DECREASING,AUTO,0
POL-2025-146,2,24513.55,47259.04,2025-11-22,2024-11-04,INSUFFICIENT_DATA,AUTO,0
POL-2025-311,1,0.0,65835.62,2025-04-29,2025-04-29,INSUFFICIENT_DATA,AUTO,0
POL-2022-770,1,10711.81,10711.81,2023-12-11,2023-12-11,INSUFFICIENT_DATA,AUTO,0
POL-2023-953,1,0.0,36363.03,2025-08-29,2025-08-29,INSUFFICIENT_DATA,AUTO,0
POL-2022-638,3,131353.6,43784.53,2025-12-03,2023-12-10,DECREASING,AUTO,2
POL-2023-682,1,0.0,94619.08,2023-04-11,2023-04-11,INSUFFICIENT_DATA,AUTO,0
POL-2023-203,1,25151.32,25151.32,2025-01-10,2025-01-10,INSUFFICIENT_DATA,AUTO,0
POL-2020-175,1,24060.85,24060.85,2025-05-09,2025-05-09,INSUFFICIENT_DATA,AUTO,0
POL-2023-702,3,24673.3,8224.43,2025-06-13,2023-04-19,INCREASING,AUTO,1
POL-2024-980,2,40317.7,24447.2,2025-08-15,2024-12-10,INSUFFICIENT_DATA,AUTO,0
POL-2021-988,2,95304.77,47652.38,2023-11-26,2023-06-04,INSUFFICIENT_DATA,AUTO,1
POL-2024-086,2,0.0,12856.63,2023-05-23,2023-04-11,INSUFFICIENT_DATA,AUTO,0
POL-2021-174,5,49272.25,23192.82,2025-09-05,2023-05-17,INCREASING,AUTO,0
POL-2025-674,2,17109.69,21641.04,2025-10-19,2023-11-25,INSUFFICIENT_DATA,AUTO,0
POL-2020-352,4,2069.35,7020.42,2025-02-28,2023-06-19,DECREASING,AUTO,0
POL-2021-609,1,0.0,28165.84,2023-02-11,2023-02-11,INSUFFICIENT_DATA,AUTO,0
POL-2021-514,2,35023.2,21461.44,2024-09-13,2024-07-08,INSUFFICIENT_DATA,AUTO,0
POL-2021-287,2,163038.0,81519.0,2024-03-16,2023-02-27,INSUFFICIENT_DATA,AUTO,0
POL-2023-151,3,59910.32,50553.97,2025-09-07,2024-04-11,INCREASING,AUTO,1
POL-2020-363,2,11292.3,9121.04,2023-11-28,2023-11-08,INSUFFICIENT_DATA,AUTO,0
POL-2025-441,1,72827.36,72827.36,2025-04-20,2025-04-20,INSUFFICIENT_DATA,AUTO,1
POL-2021-328,3,95467.4,78360.48,2025-07-25,2023-11-22,DECREASING,AUTO,0
POL-2020-348,3,40021.02,15001.02,2025-10-12,2024-11-12,INCREASING,AUTO,0
POL-2021-121,1,0.0,56650.74,2024-12-27,2024-12-27,INSUFFICIENT_DATA,AUTO,0
POL-2023-996,3,17819.16,7632.65,2025-08-20,2023-12-02,DECREASING,AUTO,1
POL-2021-660,2,177587.95,88793.98,2026-01-12,2024-10-29,INSUFFICIENT_DATA,AUTO,0
POL-2025-032,3,0.0,78966.22,2025-05-13,2023-06-01,DECREASING,AUTO,0
POL-2021-564,3,132737.4,47740.99,2025-03-03,2023-10-20,INCREASING,AUTO,0
POL-2023-450,3,24007.53,21958.33,2025-10-25,2023-10-14,INCREASING,AUTO,0
POL-2022-345,1,0.0,549.9,2023-07-31,2023-07-31,INSUFFICIENT_DATA,AUTO,0
POL-2022-285,3,8985.47,11541.8,2025-05-20,2024-03-27,DECREASING,AUTO,0
POL-2021-272,1,944.42,944.42,2025-06-18,2025-06-18,INSUFFICIENT_DATA,AUTO,0
POL-2021-626,2,71804.84,46317.05,2024-11-28,2023-11-30,INSUFFICIENT_DATA,AUTO,1
POL-2025-242,1,0.0,2337.96,2023-02-26,2023-02-26,INSUFFICIENT_DATA,AUTO,1
POL-2024-152,3,19668.17,12550.99,2025-08-13,2023-04-16,STABLE,AUTO,1
POL-2020-818,1,1051.94,1051.94,2025-09-23,2025-09-23,INSUFFICIENT_DATA,AUTO,0
POL-2022-423,3,0.0,35655.08,2025-12-06,2024-08-29,INCREASING,AUTO,1
POL-2023-695,3,69596.97,27464.41,2025-10-13,2024-05-11,INCREASING,AUTO,0
POL-2020-916,2,10379.17,5189.58,2025-07-20,2024-12-23,INSUFFICIENT_DATA,AUTO,0
POL-2020-712,2,43663.78,21831.89,2024-12-06,2024-01-19,INSUFFICIENT_DATA,AUTO,0
POL-2021-635,3,0.0,60198.63,2024-07-09,2023-11-17,DECREASING,AUTO,0
POL-2020-140,4,629.96,20582.66,2025-11-20,2023-10-12,INCREASING,AUTO,0
POL-2023-032,2,76647.89,38323.94,2024-05-19,2023-02-12,INSUFFICIENT_DATA,AUTO,0
POL-2024-667,4,7444.58,7769.05,2025-04-24,2023-10-15,INCREASING,AUTO,2
POL-2025-149,3,7751.09,15075.51,2024-05-05,2023-02-10,DECREASING,AUTO,1
POL-2022-720,2,20092.35,16071.42,2023-07-15,2023-04-15,INSUFFICIENT_DATA,AUTO,0
POL-2023-469,1,6119.32,6119.32,2025-07-24,2025-07-24,INSUFFICIENT_DATA,AUTO,0
POL-2024-764,5,65273.15,18927.8,2025-09-18,2023-01-20,INCREASING,AUTO,0
POL-2025-315,4,37548.46,13748.74,2025-04-02,2023-04-19,INCREASING,AUTO,1
POL-2023-858,4,56004.16,40798.7,2023-09-13,2023-06-06,STABLE,AUTO,0
POL-2025-812,3,0.0,25467.38,2024-12-05,2023-05-05,INCREASING,AUTO,0
POL-2021-869,4,33812.98,26598.87,2025-04-24,2024-01-11,DECREASING,AUTO,0
POL-2021-731,2,1582.46,3154.9,2024-10-11,2024-09-27,INSUFFICIENT_DATA,AUTO,1
POL-2020-726,2,0.0,49491.4,2024-03-14,2023-08-29,INSUFFICIENT_DATA,AUTO,1
POL-2020-725,3,92529.08,99154.91,2025-03-26,2023-08-24,INCREASING,AUTO,2
POL-2024-850,5,77794.03,24379.93,2025-12-30,2023-08-06,DECREASING,AUTO,2
POL-2023-567,3,706.71,12107.91,2025-02-26,2024-01-27,INCREASING,AUTO,1
POL-2021-669,1,24683.91,24683.91,2025-09-25,2025-09-25,INSUFFICIENT_DATA,AUTO,1
POL-2022-303,3,17653.21,14374.91,2025-09-09,2023-07-10,INCREASING,AUTO,0
POL-2021-623,3,10747.05,3882.2,2025-11-02,2024-03-25,DECREASING,AUTO,0
POL-2022-815,4,9077.59,17063.28,2025-08-22,2023-02-14,DECREASING,AUTO,0
POL-2024-530,2,0.0,12047.86,2024-11-21,2023-11-28,INSUFFICIENT_DATA,AUTO,0
POL-2021-150,2,0.0,17712.05,2024-06-08,2024-03-07,INSUFFICIENT_DATA,AUTO,0
